Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment
130,CQ0UCP,438.900000,-,7.600000,Tone,82.5,82.5,023,NN,FM,12.50,,UHF FM Serra da Brenha - Figueira da Foz
131,CQ0USTC,438.925000,-,7.600000,Tone,82.5,82.5,023,NN,FM,12.50,,UHF FM Aldeia de Chãos - Santiago do Cacém
132,CQ0UMM,438.925000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,UHF FM Cerro de São Miguel - Faro
133,CQ0UAR,438.950000,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,UHF FM Serra do Arestal - Aveiro
134,CQ0UHU,438.950000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Monsanto - Lisboa
135,CQ0USO,438.950000,-,7.600000,Tone,67.0,67.0,023,NN,FM,12.50,,UHF FM Serra de Ossa - Estremoz
136,CQ0UMU,438.975000,-,7.600000,Tone,114.8,114.8,023,NN,FM,12.50,,UHF FM Monte de Santa Luzia - Viseu
137,CQ0UMO,438.975000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Serra de Montejunto
138,CQ0UPS,439.000000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,UHF FM Cabeço Urra - Pampilhosa da Serra
139,CQ0UPM,439.025000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,UHF FM Serra dos Candeeiros
140,CQ0UES,439.050000,-,7.600000,Tone,114.8,114.8,023,NN,FM,12.50,,UHF FM Torre - Serra da Estrela
141,CQ0USC,439.050000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM S. da Carvalha - Arruda dos Vinhos
142,CQ0USR,439.075000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Santarém
143,CQ0UG,439.100000,-,7.600000,Tone,82.5,82.5,023,NN,FM,12.50,,UHF FM Serra da Gardunha
144,CQ0USI,439.125000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Santa Eufémia - Serra de Sintra
145,CQ0UTRZ,439.175000,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,UHF FM Serra do Arestal - Aveiro
146,CQ0UMC,439.175000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Cabeço de Montachique - Loures
147,CQ0UAG,439.200000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Alto das Gaeiras - Óbidos
148,CQ0UFL,439.225000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,UHF FM Cerro de São Miguel - Olhão
149,CQ0ULR,439.250000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,UHF FM Serra dos Candeeiros
150,CQ0UP,439.275000,-,7.600000,Tone,67.0,67.0,023,NN,FM,12.50,,UHF FM Serra de São Mamede - Portalegre
151,CQ0UCAS,439.275000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Santuário da Peninha - Sintra
152,CQ0URVM,439.325000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Monte Serves - Vialonga
153,CQ0UMJ,439.350000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Serra de Montejunto
154,CQ0UIV,439.375000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,UHF FM Cerro de São Miguel - Olhão
155,CQ0UAZ,439.400000,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,UHF FM São Tomé - Oliveira de Azeméis
156,CQ0UARB,439.400000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Serra da Arrábida - Setúbal
157,CQ0UCR,439.425000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Casal Tomaz - Caldas da Rainha
