Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment
50,CQ0UBRG,438.800000,-,7.600000,Tone,67.0,67.0,023,NN,FM,12.50,,UHF FM Serra de Santa Marta - Braga
51,CQ0UAE,438.800000,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,UHF FM Serra do Arestal - Aveiro
52,CQ0UAM,438.800000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Moinhos da Funcheira - Amadora
53,CQ0UDA,438.800000,-,7.600000,Tone,114.8,114.8,023,NN,FM,12.50,,UHF FM São Pedro de Solis - Mértola
54,CQ0USE,438.825000,-,7.600000,Tone,114.8,114.8,023,NN,FM,12.50,,UHF FM Torre - Serra da Estrela
55,CQ0ULO,438.850000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,UHF FM Alto do Trevim - Serra da Lousã
56,CQ0URBL,438.875000,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,UHF FM São Tomé - Oliveira de Azeméis
57,CQ0UAL,438.875000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,UHF FM Serra de Aire
58,CQ0UEC,438.875000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Serra da Amoreira - Odivelas
59,CQ0UCO,438.900000,-,7.600000,Tone,114.8,114.8,023,NN,FM,12.50,,UHF FM Serra de Côta - Viseu
60,CQ0UCP,438.900000,-,7.600000,Tone,82.5,82.5,023,NN,FM,12.50,,UHF FM Serra da Brenha - Figueira da Foz
61,CQ0USTC,438.925000,-,7.600000,Tone,82.5,82.5,023,NN,FM,12.50,,UHF FM Aldeia de Chãos - Santiago do Cacém
62,CQ0UMM,438.925000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,UHF FM Cerro de São Miguel - Faro
63,CQ0UAR,438.950000,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,UHF FM Serra do Arestal - Aveiro
64,CQ0UHU,438.950000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Monsanto - Lisboa
65,CQ0USO,438.950000,-,7.600000,Tone,67.0,67.0,023,NN,FM,12.50,,UHF FM Serra de Ossa - Estremoz
66,CQ0UMU,438.975000,-,7.600000,Tone,114.8,114.8,023,NN,FM,12.50,,UHF FM Monte de Santa Luzia - Viseu
67,CQ0UMO,438.975000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Serra de Montejunto
68,CQ0UPS,439.000000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,UHF FM Cabeço Urra - Pampilhosa da Serra
69,CQ0UPM,439.025000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,UHF FM Serra dos Candeeiros
70,CQ0UES,439.050000,-,7.600000,Tone,114.8,114.8,023,NN,FM,12.50,,UHF FM Torre - Serra da Estrela
71,CQ0USC,439.050000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM S. da Carvalha - Arruda dos Vinhos
72,CQ0USR,439.075000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Santarém
73,CQ0UGMR,439.100000,-,7.600000,Tone,67.0,67.0,023,NN,FM,12.50,,UHF FM Serra da Penha - Guimarães
74,CQ0UG,439.100000,-,7.600000,Tone,82.5,82.5,023,NN,FM,12.50,,UHF FM Serra da Gardunha
75,CQ0UGM,439.125000,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,UHF FM Monte Crasto - Gondomar
76,CQ0USI,439.125000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Santa Eufémia - Serra de Sintra
77,CQ0UTRZ,439.175000,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,UHF FM Serra do Arestal - Aveiro
78,CQ0UMC,439.175000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Cabeço de Montachique - Loures
79,CQ0UAG,439.200000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Alto das Gaeiras - Óbidos
80,CQ0UAST,439.200000,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,UHF FM Monte N.Sra Assunção - Santo Tirso
81,CQ0UFL,439.225000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,UHF FM Cerro de São Miguel - Olhão
82,CQ0ULR,439.250000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,UHF FM Serra dos Candeeiros
83,CQ0UP,439.275000,-,7.600000,Tone,67.0,67.0,023,NN,FM,12.50,,UHF FM Serra de São Mamede - Portalegre
84,CQ0UCAS,439.275000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Santuário da Peninha - Sintra
85,CQ0UAV,439.325000,-,7.600000,Tone,67.0,67.0,023,NN,FM,12.50,,UHF FM Monte Cotão - Arcos de Valdevez
86,CQ0URVM,439.325000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Monte Serves - Vialonga
87,CQ0UMJ,439.350000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Serra de Montejunto
88,CQ0UIV,439.375000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,UHF FM Cerro de São Miguel - Olhão
89,CQ0UAZ,439.400000,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,UHF FM São Tomé - Oliveira de Azeméis
90,CQ0UARB,439.400000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Serra da Arrábida - Setúbal
91,CQ0UPRT,439.425000,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,UHF FM Monte da Virgem - V.N.Gaia
92,CQ0UCR,439.425000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Casal Tomaz - Caldas da Rainha
93,VHF_CALL,145.500000,off,0.000000,,88.5,88.5,023,NN,FM,12.50,,Simplex chamada nacional
94,UHF_CALL,433.500000,off,0.000000,,88.5,88.5,023,NN,FM,12.50,,Simplex chamada nacional
95,ISS_VOICE,145.800000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,ISS downlink
96,AIR_121500,121.500000,off,0.000000,,88.5,88.5,023,NN,AM,8.33,S,Escuta - Emergência aeronáutica
97,AIR_123450,123.450000,off,0.000000,,88.5,88.5,023,NN,AM,8.33,S,Escuta - Air to Air
98,AIR_LPPR_TWR,118.000000,off,0.000000,,88.5,88.5,023,NN,AM,8.33,S,Escuta - Torre Porto
99,MAR_CH16,156.800000,off,0.000000,,88.5,88.5,023,NN,FM,25.00,S,Escuta - Marítimo socorro
100,AIS1,161.975000,off,0.000000,,88.5,88.5,023,NN,FM,25.00,S,Escuta - AIS 1
101,AIS2,162.025000,off,0.000000,,88.5,88.5,023,NN,FM,25.00,S,Escuta - AIS 2
102,PMR01,446.006250,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 1
103,PMR02,446.018750,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 2
104,PMR03,446.031250,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 3
